Token,PNL,Volume traded,Total orders,Winning trades,Annualised Sharpe ratio,Drawdown
1270,3.800000000000182,12,12,5,19.06631782816183,0.0
383,-1.099999999999909,10,10,3,-4.052709540407117,-5.142857142857178
