Token,PNL,Volume traded,Total orders,Winning trades,Daily Sharpe ratio,Annualised Sharpe ratio,Drawdown
1270,359.69999999998254,400,201,101,0.4528255791168224,7.188383217791492,-0.3437927574568978
383,-228.19999999998254,400,201,92,-0.5095454321292249,-8.08878297061722,-3.1889688249400696
526,682.1500000000015,400,201,200,2.042970823450166,32.4311564076599,0.0
7,-350.2000000000553,400,201,100,-0.3666867028871171,-5.820970949481253,-2.2159722222221974
10794,29.02000000001135,400,201,95,0.2289478154689385,3.634433897653908,-0.5854285714285674
404,2511.2999999999447,400,201,200,4.1228488539397015,65.44819656379266,0.0
11439,124.32000000005064,400,201,98,0.31196524345244103,4.952294711225281,-4.714285714285506
19585,14493.800000000163,400,201,102,0.7089439712860957,11.254136649009151,-0.16354066212010196
1901,6341.000000000116,400,201,200,1.2423293436882272,19.72136693902284,0.0
21174,-1205.4000000000233,400,201,93,-0.4202293411060719,-6.670933981075193,-2.546574287913799
317,17880.350000001257,400,201,200,1.9179079331304103,30.445844571485775,0.0
10604,-6037.250000000058,400,201,0,-2.98551673222827,-47.39360885098931,-0.0
25,8944.000000000291,400,201,100,0.8561152937105595,13.59040896454296,-0.07511103527793522
16669,-5385.699999999255,400,201,71,-0.735930043308529,-11.682527261612169,-14.178861788558653
324,4320.7999999997555,400,201,126,0.8517185732628003,13.5206131912087,-0.10287449927366928
212,1300.310000000005,400,201,195,1.147751321156613,18.219987376357352,-0.0016718827211332356
5900,-45.50000000005821,400,201,68,-0.17059305011399403,-2.708080715985643,-105.93333333333628
22,2535.1500000000233,400,201,118,0.5701697190005133,9.051163689449623,-0.2879335743940025
15083,4264.100000000035,400,201,200,1.196058106743218,18.98683382415181,0.0
10217,-2686.7999999999884,400,201,0,-2.8439760388496698,-45.146720000536774,-0.0
6066,1900.999999999971,400,201,200,1.8490774435125443,29.353194422599653,0.0
2328,357.64000000000306,400,201,200,1.9844102181217722,31.501535617713895,0.0
342,-11030.649999999907,400,201,0,-1.6068680991463873,-25.508240280146527,-0.0
17419,337.0399999999936,302,153,144,1.683730475183587,26.72839267317829,-0.0037245048773277734
16675,7185.049999999697,400,201,200,1.4555888409336764,23.106756505627573,0.0
236,252.8499999997439,400,201,100,0.1899274771133699,3.015005229479331,-0.6719003438655672
438,-1003.2700000000041,400,201,0,-2.9656036094315574,-47.077497826508555,-0.0
14418,3349.199999999895,400,201,100,0.45174606863149414,7.1712465201003015,-0.37560939233214147
11543,-1637.1499999999069,400,201,97,-0.14504404994427827,-2.3025029118131535,-1.4131713103169798
694,2509.1999999999534,400,201,199,1.4600512088416995,23.177594400086203,-2.3330689188431187e-05
21238,-4755.749999999884,400,201,0,-7.074765539844279,-112.30842121510553,-0.0
275,4653.900000000023,400,201,160,1.0182699153259662,16.164533780947828,-0.024302666725052095
685,-289.35000000020955,400,201,76,-0.2217415158671086,-3.520037437937114,-2.5415457662886625
547,-8008.350000000442,400,201,0,-3.2610789678156418,-51.76802372750038,-0.0
6994,-1407.3000000000175,400,201,0,-3.860651681884091,-61.2859454934513,-0.0
4668,453.01999999997497,400,201,164,0.9639091704011276,15.30158370801579,-0.013901884774763012
11703,3145.6499999997905,400,201,100,0.25146045800745215,3.991811018724714,-0.5930200213474859
13,-29153.50000000035,400,201,0,-1.2709355662787918,-20.175476644564387,-0.0
157,19917.450000000652,400,201,200,1.355110516126863,21.51171254808037,0.0
3563,5478.749999999942,400,201,198,1.6805129360353557,26.67731582265928,-0.0002210201826324241
760,3253.6999999999825,400,201,100,0.7724643467398833,12.262491348826194,-0.12620681320747154
637,1451.249999999971,400,201,100,0.63503899103593,10.080931458662679,-0.21534967965180526
15141,-741.2499999997672,400,201,90,-0.43890877791016675,-6.967460847561486,-0.0
20374,1262.6499999999796,400,201,196,1.5523982005302293,24.643557446082994,-0.0005831753899984535
5748,9804.550000000047,400,201,200,2.02196428116346,32.09768788688398,0.0
2263,-536.3400000000111,400,201,0,-6.395793670440086,-101.53007693319282,-0.0
4749,-678.6000000000349,400,201,100,-0.18119525209190623,-2.87638545468504,-1.4480095068330445
25780,3000.0999999999185,400,201,100,0.541001156660509,8.588127117132009,-0.29078165076888834
335,1639.3500000000931,400,201,100,0.1585478803400806,2.5168695736576807,-0.721823457544289
7929,795.7000000000407,400,201,100,0.3026470757367015,4.804373384521456,-0.5268056257619463
422,1999.1500000001106,400,201,169,1.0600960664103591,16.82850334535774,-0.01940074489966176
21614,531.7299999999959,400,201,200,1.7702424689641716,28.10172799898505,0.0
30108,452.55000000002474,400,201,100,0.279146694351108,4.431316395352743,-0.5571917808219178
4745,-357.8199999999997,400,201,0,-2.009205041851099,-31.895141242050787,-0.0
163,237.34999999999127,400,201,91,0.27436474256262733,4.355405264069821,-0.5401085061034722
739,-1334.9500000000116,400,201,13,-1.2992061842320752,-20.624258791651425,-0.0
5142,1519.899999999965,400,201,137,0.7520349357914116,11.938184504019015,-0.157430914237362
17094,639.9999999999854,400,201,191,1.519667098771966,24.12396731374591,-0.0010254073145721547
11373,-1308.0999999999767,400,201,1,-1.3184667296519685,-20.930010471430435,-0.0
371,-2142.9000000001397,400,201,62,-0.9614873258511225,-15.263138117655568,-0.0
583,-342.5,400,201,90,-0.38052390526919644,-6.040629727544368,-2.34551168729124
5701,-307.64999999998327,400,201,3,-1.529351028152082,-24.277694926868104,-0.0
13620,-4168.75,400,201,0,-7.573914839559687,-120.2321706999396,-0.0
17388,448.55000000004657,400,201,100,0.31940460672010446,5.070390941938718,-0.5094061030296404
